"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","location_precision"
"1592","64","Lotek-270","LOTEKSRX800","2916","terminated","Winous Point 2016 (Disregard)","2016-03-18 11:00:00 +00:00","2016-03-18 11:01:00 +00:00","1458298800","1458298860.0000002","41.46186800","-82.99903000","","","0","Exact"
"1592","64","Lotek-270","LOTEKSRX800","3091","deployed","Mound 2016","2016-03-27 18:06:00 +00:00","","1459101960","","41.63076400","-83.25548300","","","0","Exact"
"1592","64","Lotek-270","LOTEKSRX800","3092","terminated","Winous Point Fall 2015","2015-11-07 16:30:00 +00:00","2015-12-06 10:20:00 +00:00","1446913800","1449397200","41.46186800","-82.99903000","","","0","Exact"
"1603","64","Lotek-8205","LOTEKSRXDL","2917","deployed","Erie Marsh 2016","2016-03-11 14:00:00 +00:00","","1457704800","","41.76347000","-83.47027000","","","0","Exact"
"1611","64","Lotek-8204","LOTEKSRXDL","2946","terminated","Magee Marsh 2016","2016-04-05 15:40:00 +00:00","2016-06-15 19:00:00 +00:00","1459870799.9999998","1466017200","41.61152100","-83.17495200","","","0","Exact"
"1611","64","Lotek-8204","LOTEKSRXDL","3219","deployed","Magee Marsh 2016","2016-06-15 19:00:00 +00:00","","1466017200","","41.61152100","-83.17495200","","","0","Exact"
"1676","64","Lotek-269","","3089","terminated","Winous Point 2016","2016-04-06 17:48:00 +00:00","2016-05-24 13:00:00 +00:00","1459964879.9999998","1464094800","41.46186400","-82.99906100","","","0","Exact"
"1676","64","Lotek-269","","3116","deployed","Winous Point 2016","2016-05-24 13:05:00 +00:00","","1464095100.0000002","","41.46186400","-82.99906100","","","0","Exact"
"1676","64","Lotek-269","","3076","terminated","Winous Point March 2016","2016-03-18 12:28:00 +00:00","2016-03-28 17:18:00 +00:00","1458304080","1459185480","41.46186400","-82.99906100","","","0","Exact"
"1681","64","Lotek-8372","LOTEKSRXDL","3081","terminated","Pipe Creek North - 8372 (Do not use)","2016-05-10 14:00:00 +00:00","2016-05-10 15:29:00 +00:00","1462888800","1462894140","41.45536200","-82.66464300","","","0","Exact"
"1774","64","Lotek-6345","","3317","terminated","Bunkhouse 2016","2016-07-20 16:05:00 +00:00","2016-07-20 16:06:00 +00:00","1469030700.0000002","1469030760","41.58850900","-83.10345000","","","0","Exact"
"1774","64","Lotek-6345","","3318","deployed","Bunkhouse 2016","2016-07-20 16:07:00 +00:00","","1469030820","","41.58850900","-83.10345000","","","0","Exact"
"1887","64","Lotek-426","","3531","deployed","Willow Point 2016","2016-10-14 21:18:00 +00:00","","1476479880.0000002","","41.43508400","-82.88109900","","","0","Exact"
"1887","64","Lotek-426","","3508","terminated","Willow Point 2016","2016-10-14 21:16:00 +00:00","2016-10-14 21:17:00 +00:00","1476479760","1476479820","41.43508400","-82.88109927","","","0","Exact"
"1279","65","SG-3214BBBK5917","SENSORGNOME","2279","terminated","Padre Lemon","2015-04-15 00:00:00 +00:00","2016-03-11 00:00:00 +00:00","1429056000","1457654400","27.23916200","-97.36073200","","","0","Exact"
"1299","65","SG-3214BBBK8710","SENSORGNOME","2328","deployed","Nighthawk","2015-04-15 00:00:00 +00:00","","1429056000","","27.54405000","-97.28475300","","","0","Exact"
"1364","65","SG-3214BBBK8689","SENSORGNOME","2431","deployed","PortIsabel","2015-04-15 00:00:00 +00:00","","1429056000","","26.07179400","-97.20131000","","","0","Exact"
"1630","65","SG-3214BBBK8447","SENSORGNOME","2983","terminated","High_Island","2016-04-13 00:00:00 +00:00","2016-08-24 00:00:00 +00:00","1460505600","1471996800","29.56220000","-94.39040000","","","0","Exact"
"1631","65","SG-3115BBBK1D4A","SENSORGNOME","2984","deployed","Bolivar_Flats","2016-04-11 00:00:00 +00:00","","1460332800","","29.37140000","-94.74950000","","","0","Exact"
"1847","65","SG-0816BBBK03AF","SENSORGNOME","3412","deployed","High_Island","2016-08-29 00:00:00 +00:00","","1472428800","","29.56220000","-94.39040000","","","0","Exact"
"2006","65","SG-3214BBBK8672","SENSORGNOME","3787","deployed","Padre Lemon","2016-04-21 00:00:00 +00:00","","1461196800","","27.23916200","-97.36073200","","","0","Exact"
"1284","67","SG-5113BBBK2818","SENSORGNOME","3255","terminated","Churchill-Bird Cove","2016-06-27 20:10:00 +00:00","2016-10-11 21:45:00 +00:00","1467058199.9999998","1476222300","58.75532000","-93.90215000","","","0","Exact"
"1284","67","SG-5113BBBK2818","SENSORGNOME","2294","terminated","Churchill-Bird Cove","2015-06-20 00:00:00 +00:00","2015-09-23 00:00:00 +00:00","1434758400","1442966400","58.75532000","-93.90215000","","","0","Exact"
"1437","67","SG-5113BBBK2939","SENSORGNOME","3254","terminated","Churchill-Fen","2016-07-04 03:30:00 +00:00","2016-08-14 14:46:00 +00:00","1467603000","1471185960.0000002","58.67880000","-93.83630000","","","0","Exact"
"1437","67","SG-5113BBBK2939","SENSORGNOME","2571","terminated","Churchill-Fen","2015-06-23 00:00:00 +00:00","2015-10-10 00:00:00 +00:00","1435017600","1444435200","58.67883000","-93.83640000","","","0","Exact"
"1438","67","SG-3214BBBK5695","SENSORGNOME","2572","terminated","Churchill-Gordon Point","2015-06-22 00:00:00 +00:00","2015-10-25 00:00:00 +00:00","1434931200","1445731200","58.77831000","-93.73583000","","","0","Exact"
"1438","67","SG-3214BBBK5695","SENSORGNOME","3256","terminated","Chuchill-Gordon's Point","2016-06-30 18:10:00 +00:00","2016-06-30 18:11:00 +00:00","1467310200","1467310260","58.77831000","-93.73583000","","","0","Exact"
"1438","67","SG-3214BBBK5695","SENSORGNOME","3257","deployed","Churchill-Gordon's Point","2016-06-30 18:12:00 +00:00","","1467310320.0000002","","58.77831000","-93.73583000","","","0","Exact"
"1237","68","SG-3214BBBK5654","SENSORGNOME","2176","deployed","Polar Bear Pass National Wildlife Area","2015-07-07 21:00:00 +00:00","","1436302800","","75.73010000","-98.42460000","","","0","Exact"
"1371","72","SG-4001BBBK1190","SENSORGNOME","2438","terminated","NBBITH1","2015-07-17 22:55:00 +00:00","2015-07-18 23:10:00 +00:00","1437173699.9999998","1437260999.9999998","47.20470000","-66.55450000","","","0","Exact"
"1371","72","SG-4001BBBK1190","SENSORGNOME","2448","terminated","NBBITH1","2015-07-18 23:10:00 +00:00","2015-10-08 01:30:00 +00:00","1437260999.9999998","1444267800","47.20470000","-66.55450000","","","0","Exact"
"1371","72","SG-4001BBBK1190","SENSORGNOME","3718","terminated","HR Summer Deployment NW","2016-08-01 16:33:00 +00:00","2016-09-17 16:33:00 +00:00","1470069180","1474129980","47.20039000","-66.55191500","","","0","Exact"
"1371","72","SG-4001BBBK1190","SENSORGNOME","3719","terminated","Migration Fall Deployment NW","2016-09-17 17:39:00 +00:00","2016-10-26 16:39:00 +00:00","1474133940","1477499939.9999998","47.20039000","-66.55191500","","","0","Exact"
"1371","72","SG-4001BBBK1190","SENSORGNOME","3721","terminated","HR Summer Deployment NW","2016-07-01 16:17:00 +00:00","2016-08-01 15:17:00 +00:00","1467389820","1470064620","47.20039000","-66.55191500","","","0","Exact"
"1372","72","SG-4002BBBK1950","SENSORGNOME","2439","terminated","NBBITH2","2015-07-24 15:00:00 +00:00","2015-10-08 12:30:00 +00:00","1437750000","1444307400","47.21280000","-66.54310000","","","0","Exact"
"1984","72","SG-4001BBBK0350","SENSORGNOME","3720","terminated","HR Summer Deployment SE","2016-07-01 16:14:00 +00:00","2016-08-01 15:14:00 +00:00","1467389640","1470064439.9999998","47.19094200","-66.54856600","","","0","Exact"
"1984","72","SG-4001BBBK0350","SENSORGNOME","3716","terminated","HR Summer Deployment SE","2016-08-01 16:20:00 +00:00","2016-10-24 16:20:00 +00:00","1470068400","1477326000","47.19094200","-66.54856600","","","0","Exact"
"1334","73","Lotek-174","LOTEKSRX800","2381","deployed","GB2","2015-06-24 00:00:00 +00:00","","1435104000","","30.37394800","-88.42661600","","","0","Exact"
"1335","73","Lotek-178","LOTEKSRX800","2382","deployed","GB1","2015-04-15 00:00:00 +00:00","","1429056000","","30.35949000","-88.45599000","","","0","Exact"
"1377","73","Lotek-176","LOTEKSRX800","2445","deployed","PR1","2015-07-28 00:00:00 +00:00","","1438041600","","30.41556800","-88.61057600","","","0","Exact"
"1378","73","Lotek-175","LOTEKSRX800","2446","deployed","PR2","2015-07-28 00:00:00 +00:00","","1438041600","","30.42981200","-88.59438300","","","0","Exact"
"1379","73","Lotek-177","LOTEKSRX800","2447","deployed","PR3","2015-08-03 00:00:00 +00:00","","1438560000","","30.45447900","-88.58568100","","","0","Exact"
"1503","73","Lotek-179","LOTEKSRX800","2732","deployed","GB3","2015-07-27 00:00:00 +00:00","","1437955200","","30.35965100","-88.45591100","","","0","Exact"
"1400","74","Lotek-161","LOTEKSRX800","2504","terminated","FortRiver","2015-05-01 15:46:00 +00:00","2015-12-16 00:00:00 +00:00","1430495159.9999998","1450224000","42.34121100","-72.56595400","","","0","Exact"
"1400","74","Lotek-161","LOTEKSRX800","2900","deployed","Fort River","2016-03-18 11:45:00 +00:00","","1458301500","","42.34121100","-72.56595400","","","0","Exact"
"1401","74","SG-1614BBBK1911_1","SENSORGNOME","2901","terminated","Sugarloaf ","2016-03-16 22:20:00 +00:00","2016-06-22 18:30:00 +00:00","1458166800","1466620200","42.46996600","-72.59192800","","","0","Exact"
"1401","74","SG-1614BBBK1911_1","SENSORGNOME","3230","terminated","Sugarloaf","2016-06-22 21:03:00 +00:00","2016-09-15 21:00:00 +00:00","1466629380","1473973200","42.46972200","-72.59194400","","","0","Exact"
"1401","74","SG-1614BBBK1911_1","SENSORGNOME","2506","terminated","Sugarloaf","2015-05-04 17:15:00 +00:00","2015-12-16 00:00:00 +00:00","1430759700","1450224000","42.46996600","-72.59192800","","","0","Exact"
"1401","74","SG-1614BBBK1911_1","SENSORGNOME","3509","terminated","Sugarloaf","2016-09-15 21:00:00 +00:00","2016-10-25 16:27:00 +00:00","1473973200","1477412820","42.46972200","-72.59194400","","","0","Exact"
"1402","74","Lotek-162","LOTEKSRX800","2508","terminated","MountToby","2015-04-16 17:00:00 +00:00","2016-10-27 15:57:00 +00:00","1429203600","1477583820.0000002","42.48801200","-72.53764400","","","0","Exact"
