motusRecvID,recvProjectID,receiverID,recvDeployID,port,radioType,antennaType,bearing,tilt,polBearing,polTilt,heightMeters,filter,cableLengthMeters,cableType,mountDistanceMeters,mountBearing,details,elevationAngle,polarization1,polarization2,deploymentStatus
391,1,SG-5113BBBK2661,3733,2,,yagi-9,280,,,,5.8,,,,,,,,,,deployed
391,1,SG-5113BBBK2661,3733,3,,yagi-9,130,,,,5.6,,,,,,,,,,deployed
392,1,SG-5113BBBK2665,673,1,,yagi-9,35,,,,6,,7.62,,,,,,,,terminated
392,1,SG-5113BBBK2665,673,2,,yagi-9,135,,,,5.8,,7.62,,,,,,,,terminated
392,1,SG-5113BBBK2665,673,3,,yagi-9,265,,,,5.6,,7.62,,,,,,,,terminated
392,1,SG-5113BBBK2665,2002,1,,yagi-9,35,,,,,,,,,,,,,,terminated
392,1,SG-5113BBBK2665,2002,2,,yagi-9,135,,,,,,,,,,,,,,terminated
392,1,SG-5113BBBK2665,2002,3,,yagi-9,265,,,,,,,,,,,,,,terminated
392,1,SG-5113BBBK2665,2109,1,,yagi-9,35,,,,6,,,,,,,,,,deployed
392,1,SG-5113BBBK2665,2109,2,,yagi-9,135,,,,5.8,,,,,,,,,,deployed
392,1,SG-5113BBBK2665,2109,3,,yagi-9,265,,,,5.6,,,,,,,,,,deployed
393,1,SG-5113BBBK2671,649,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
393,1,SG-5113BBBK2671,649,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
393,1,SG-5113BBBK2671,649,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
393,1,SG-5113BBBK2671,1993,1,,yagi-9,0,,,,,,,,,,,,,,terminated
393,1,SG-5113BBBK2671,1993,2,,yagi-9,240,,,,,,,,,,,,,,terminated
393,1,SG-5113BBBK2671,1993,3,,yagi-9,120,,,,,,,,,,,,,,terminated
393,1,SG-5113BBBK2671,2281,1,,yagi-9,0,,,,6,,,,,,,,,,deployed
393,1,SG-5113BBBK2671,2281,2,,yagi-9,240,,,,5.8,,,,,,,,,,deployed
393,1,SG-5113BBBK2671,2281,3,,yagi-9,120,,,,5.6,,,,,,,,,,deployed
394,1,SG-5113BBBK2672,677,1,,yagi-9,35,,,,6,,7.62,,,,,,,,terminated
394,1,SG-5113BBBK2672,677,2,,yagi-9,195,,,,5.8,,7.62,,,,,,,,terminated
394,1,SG-5113BBBK2672,677,3,,yagi-9,105,,,,5.6,,7.62,,,,,,,,terminated
394,1,SG-5113BBBK2672,2111,1,,yagi-9,35,,,,6,,,,,,,,,,terminated
394,1,SG-5113BBBK2672,2111,2,,yagi-9,195,,,,5.8,,,,,,,,,,terminated
394,1,SG-5113BBBK2672,2111,3,,yagi-9,95,,,,5.6,,,,,,,,,,terminated
394,1,SG-5113BBBK2672,3759,1,,yagi-9,35,,,,6,,,,,,,,,,deployed
394,1,SG-5113BBBK2672,3759,2,,yagi-9,195,,,,5.8,,,,,,,,,,deployed
395,1,SG-5113BBBK2674,648,1,,yagi-9,0,,,,12,,7.62,,,,,,,,deployed
395,1,SG-5113BBBK2674,648,2,,yagi-9,230,,,,11.8,,7.62,,,,,,,,deployed
395,1,SG-5113BBBK2674,648,3,,yagi-9,120,,,,11.6,,7.62,,,,,,,,deployed
396,1,SG-5113BBBK2675,670,1,,yagi-9,345,,,,6,,7.62,,,,,,,,terminated
396,1,SG-5113BBBK2675,670,2,,yagi-9,220,,,,5.8,,7.62,,,,,,,,terminated
396,1,SG-5113BBBK2675,670,3,,yagi-9,100,,,,5.6,,7.62,,,,,,,,terminated
396,1,SG-5113BBBK2675,2016,1,,yagi-9,345,,,,,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,2016,2,,yagi-9,220,,,,,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,2016,3,,yagi-9,100,,,,,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,2120,1,,yagi-9,345,,,,6,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,2120,2,,yagi-9,220,,,,5.8,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,2120,3,,yagi-9,100,,,,5.6,,,,,,,,,,terminated
396,1,SG-5113BBBK2675,3741,1,,yagi-9,345,,,,6,,,,,,,,,,deployed
396,1,SG-5113BBBK2675,3741,2,,yagi-9,220,,,,5.8,,,,,,,,,,deployed
397,1,SG-5113BBBK2678,658,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,658,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,658,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,739,1,,yagi-9,40,,,,6,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,739,2,,yagi-9,315,,,,5.8,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,739,3,,yagi-9,110,,,,5.6,,7.62,,,,,,,,terminated
397,1,SG-5113BBBK2678,2005,1,,yagi-9,40,,,,,,,,,,,,,,terminated
397,1,SG-5113BBBK2678,2005,2,,yagi-9,315,,,,,,,,,,,,,,terminated
397,1,SG-5113BBBK2678,2005,3,,yagi-9,110,,,,,,,,,,,,,,terminated
397,1,SG-5113BBBK2678,2114,1,,yagi-9,40,,,,6,,,,,,,,,,terminated
