"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"1799",455835,1445858341.4274,43,0,-96,4,0,7e-05,0,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1800",455836,1445858399.6094,38,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1801",455837,1445858448.095,44,0,-96,4,0,7e-05,0.000111,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1802",455838,1445858506.277,45,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1803",455839,1445858564.459,28,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1804",455840,1445858622.641,22,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42362,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1805",455841,1445858496.5777,45,0,-96,4,0,7e-05,0,7,515,"LOTEK-164",1405,74,2512,42363,5,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1806",455842,1445858554.7637,44,0,-96,4,0,7e-05,0.003413,7,515,"LOTEK-164",1405,74,2512,42363,5,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1807",455843,1445858603.2453,53,0,-96,4,0,7e-05,-0.003887,7,515,"LOTEK-164",1405,74,2512,42363,5,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1808",455844,1445858661.4313,45,0,-96,4,0,7e-05,0.003413,7,515,"LOTEK-164",1405,74,2512,42363,5,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1809",455845,1445858719.6133,40,0,-96,4,0,7e-05,-0.000589,7,515,"LOTEK-164",1405,74,2512,42363,5,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"13472",18323166,1441896358.9021,-67.9925,27.722,-76.828499,3.8595,0.006478,0.00036,0,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13473",18323167,1441896364.9984,-67.040802,15.492,-76.648201,3.8725,0.00895,0.00058,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13474",18323168,1441896371.0944,-69.347298,48.857399,-77.265503,3.87275,0.021006,4e-05,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13475",18323169,1441896389.3829,-69.093697,57.3391,-77.525398,3.84675,0.009568,0.00036,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13476",18323170,1441896401.5752,-68.150803,41.574501,-76.455101,3.8775,0.016726,4e-05,0.000121,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13477",18323171,1441896407.6715,-69.308701,14.6907,-76.6968,3.86175,0.010578,0.00032,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13478",18323172,1441896413.7677,-67.563004,3.49122,-76.714104,3.86225,0.007893,0.00044,0.00042,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13479",18323173,1441896432.056,-66.826797,29.2544,-76.6017,3.86375,0.013994,0.00034,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13480",18323174,1441896438.1523,-65.803902,25.3857,-76.762497,3.8555,0.010991,0.00024,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13481",18323175,1441896444.2483,-69.2481,22.429199,-76.689796,3.86625,0.016496,0.00062,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13482",18323176,1441896450.3446,-66.307701,50.189899,-76.870499,3.85975,0.015625,0.00032,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13483",18323177,1441896456.4408,-67.040802,49.370201,-76.673302,3.86075,0.013199,0.00064,0.00042,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13484",18323178,1441896462.5368,-68.609802,25.432899,-76.198196,3.86925,0.011163,0.00036,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13485",18323179,1441896468.6328,-66.155701,14.9681,-76.655098,3.86175,0.013994,0.00074,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13486",18323180,1441896474.7291,-65.207901,20.8248,-76.626602,3.8695,0.006176,4e-05,-0.00028,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13487",18323181,1441896480.8254,-69.067398,51.4911,-77.152802,3.87375,0.018598,0.00024,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13488",18323182,1441896499.1139,-68.232803,30.6415,-76.838898,3.86775,0,0.00196,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13489",18323183,1441896517.4022,-68.621399,30.5949,-76.320602,3.866,0.037109,0.00054,2e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.089446667,-64.368675,37.400002,1441892641
"13490",18323184,1441896541.787,-67.430801,30.527599,-76.596001,3.87975,0.010578,0.00024,0.000121,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13491",18323185,1441896547.8833,-67.278198,48.709499,-76.1968,3.871,0.007394,0.00024,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13492",18323186,1441896553.9793,-66.721199,16.2488,-76.825897,3.8685,0.015867,0.00024,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13493",18323187,1441896560.0753,-66.491898,24.055901,-76.593597,3.8795,0.018007,0.00024,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13494",18323188,1441896566.1715,-66.567703,58.361301,-76.428497,3.86375,0.012093,0.00028,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13495",18323189,1441896572.2676,-67.568703,71.681,-77.357201,3.86575,0.005859,0.00024,-0.00028,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13496",18323190,1441896578.3638,-66.838203,76.086502,-77.468697,3.8615,0.014129,0.00028,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13497",18323191,1441896584.4601,-64.800499,26.5741,-76.370399,3.8645,0.021066,0.00036,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13498",18323192,1441896590.5563,-69.039703,16.8008,-76.513298,3.867,0.038007,0.00036,0.00012,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13499",18323193,1441896596.6523,-64.9935,31.0147,-76.087799,3.87,0.01315,4e-05,-8e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13500",18323194,1441896602.7486,-66.7435,14.7952,-76.591599,3.86125,0.010638,4e-05,0.00022,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
"13501",18323195,1441896608.8447,-66.572304,20.6793,-76.563202,3.87125,0.007648,0.00026,2e-05,410,560,"SG-1012BB012075",1962,10,3675,683041,49,5,15977,NA,94,"2015-2",38,1765,45.08945,-64.368675,39.099998,1441896541
